Age,1982,1987,1990,2000,2010,2020
0 - 4,73895014,76549900,93217568,55184575,75532610,77883888
5 - 9,110735871,96910100,99336743,90152587,70881549,90244056
10 - 14,131810957,110989400,97226692,125396633,74908462,85255994
15 - 19,125366344,128071600,120158421,103031165,99889114,72684140
20 - 24,74363020,121513600,125761174,94573174,127412518,74941675
25 - 29,92563882,74364400,104267525,117602265,101013852,91847332
30 - 34,72958237,89705100,83875707,127314298,97138203,124145190
35 - 39,54221629,71375000,86351812,109147295,118025959,99012932
40 - 44,48437943,52663200,63707664,81242945,124753964,92955330
45 - 49,47403331,46955300,49087941,85521045,105594553,114224887
50 - 54,40815501,46112200,45619559,63304200,78753171,121164296
55 - 59,33894327,39507100,41709335,46370375,81312474,101400786
60 - 64,27362204,31947200,33976254,41703848,58667282,73382938
65 - 69,21260370,24240500,26332520,34780460,41113282,74005560
70 - 74,14348045,17225400,18050580,25574149,32972397,49590036
75 - 79,8617043,10154800,10933924,15928330,23852133,31238849
80 - 84,3704605,4996800,5352690,7989158,13373198,20382878
85 - 89,,,1907544,3030698,5631928,10826530
90 - 94,,,351602,783594,1578307,3652749
95 - 99,,,57851,169756,369979,819812
