Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
China,2020,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2024,1409778724,"1,2"
China,2020,Total,Both Sexes,0,Census - de jure - complete tabulation,"Final figure, complete",2024,11988057,"1,2"
China,2020,Total,Both Sexes,0 - 4,Census - de jure - complete tabulation,"Final figure, complete",2024,77883888,"1,2"
China,2020,Total,Both Sexes,1,Census - de jure - complete tabulation,"Final figure, complete",2024,14383791,"1,2"
China,2020,Total,Both Sexes,2,Census - de jure - complete tabulation,"Final figure, complete",2024,15266778,"1,2"
China,2020,Total,Both Sexes,3,Census - de jure - complete tabulation,"Final figure, complete",2024,18418078,"1,2"
China,2020,Total,Both Sexes,4,Census - de jure - complete tabulation,"Final figure, complete",2024,17827184,"1,2"
China,2020,Total,Both Sexes,5,Census - de jure - complete tabulation,"Final figure, complete",2024,16547271,"1,2"
China,2020,Total,Both Sexes,5 - 9,Census - de jure - complete tabulation,"Final figure, complete",2024,90244056,"1,2"
China,2020,Total,Both Sexes,6,Census - de jure - complete tabulation,"Final figure, complete",2024,18591806,"1,2"
China,2020,Total,Both Sexes,7,Census - de jure - complete tabulation,"Final figure, complete",2024,17963157,"1,2"
China,2020,Total,Both Sexes,8,Census - de jure - complete tabulation,"Final figure, complete",2024,19353752,"1,2"
China,2020,Total,Both Sexes,9,Census - de jure - complete tabulation,"Final figure, complete",2024,17788070,"1,2"
China,2020,Total,Both Sexes,10,Census - de jure - complete tabulation,"Final figure, complete",2024,17347565,"1,2"
China,2020,Total,Both Sexes,10 - 14,Census - de jure - complete tabulation,"Final figure, complete",2024,85255994,"1,2"
China,2020,Total,Both Sexes,11,Census - de jure - complete tabulation,"Final figure, complete",2024,17695044,"1,2"
China,2020,Total,Both Sexes,12,Census - de jure - complete tabulation,"Final figure, complete",2024,17356919,"1,2"
China,2020,Total,Both Sexes,13,Census - de jure - complete tabulation,"Final figure, complete",2024,16677054,"1,2"
China,2020,Total,Both Sexes,14,Census - de jure - complete tabulation,"Final figure, complete",2024,16179412,"1,2"
China,2020,Total,Both Sexes,15,Census - de jure - complete tabulation,"Final figure, complete",2024,15323224,"1,2"
