Age,Female,Male
0 - 4,13286374.0,14736837.0
5 - 9,16300461.0,18404830.0
10 - 14,16521188.0,18976267.0
15 - 19,8623809.0,10886982.0
20 - 24,9636685.0,11861651.0
25 - 29,12383247.0,14968243.0
30 - 34,16208202.0,18933754.0
35 - 39,12886481.0,14918538.0
40 - 44,13485723.0,15046746.0
45 - 49,19568001.0,20813054.0
50 - 54,23934193.0,24646626.0
55 - 59,20452804.0,20950572.0
60 - 64,15079325.0,15924093.0
65 - 69,17079286.0,17198776.0
70 - 74,12145815.0,11949728.0
75 - 79,7945364.0,7362435.0
80 - 84,5211833.0,4315466.0
85 - 89,3034986.0,1992630.0
90 - 94,1104614.0,580439.0
95 - 99,263233.0,112711.0
