Age,Female,Male
1 - 4,12408100.0,13575000.0
5 - 9,15499500.0,16586900.0
10 - 14,17142300.0,18212300.0
15 - 19,21758600.0,22334300.0
20 - 24,23032000.0,23042400.0
25 - 29,15758500.0,16293700.0
30 - 34,17911500.0,18533700.0
35 - 39,13663900.0,14432600.0
40 - 44,9801100.0,10502900.0
45 - 49,9129300.0,9761300.0
50 - 54,8910600.0,9642300.0
55 - 59,7280000.0,8093600.0
60 - 64,5763900.0,6012800.0
65 - 69,4505800.0,4339900.0
70 - 74,3326000.0,2861100.0
75 - 79,2163800.0,1545500.0
80 - 84,1151700.0,671200.0
