Age,Female,Male,,pay,6.73649E+11
0 - 4,23628183,26232494,,collect,7.3506E+11
5 - 9,25926137,29612628,,,
10 - 14,23128016,26630523,,difference,61410860067
15 - 19,25006988,28166361,,,
20 - 24,25628995,27814344,,,
25 - 29,31301815,33194027,,,
30 - 34,44065180,44938054,,,
35 - 39,35194414,36013499,,,
40 - 44,31836913,32585948,,,
45 - 49,36465200,37378632,,,
50 - 54,36124633,36458844,,,
55 - 59,30131956,29865454,,,
60 - 64,21432488,20947032,,,
65 - 69,20588351,19139147,,,
70 - 74,13281488,12213005,,,
75 - 79,8541052,7389998,,,
80 - 84,6014042,4841537,,,
85 - 89,3365453,2433461,,,
90 - 94,1180541,787155,,,
95 - 99,285124,158744,,,
,,,,,
,,,,,
"That is for the data from 2020 population, and payment and collect rate from 2025",,,,,
