Age,Urban_population,Total_population,live_in_urban_percentage
0,7499100.0,22718200.0,0.3300921727953799
1,6725100.0,20103300.0,0.3345271671815075
2,6171600.0,18528200.0,0.33309225936680303
3,6211300.0,18159500.0,0.3420413557642006
4,6875000.0,19758900.0,0.3479444705929986
5,7449100.0,21920400.0,0.3398250031933724
6,5834100.0,18094400.0,0.3224257228755858
7,6251700.0,19011300.0,0.32884126808792663
8,6389300.0,19404300.0,0.32927237777193713
9,6162300.0,18479700.0,0.33346320557151904
10,6251000.0,19443400.0,0.3214972689961632
11,6545400.0,20351100.0,0.3216238925660038
12,6912700.0,22049900.0,0.3135025555671454
13,7483200.0,23983700.0,0.3120119080875762
14,8162400.0,25161300.0,0.3244029521527107
15,8323300.0,25100400.0,0.33160029322241874
16,9183700.0,27018200.0,0.3399079139246878
17,8943100.0,25751800.0,0.3472805784450019
18,9459500.0,27061200.0,0.3495595169467725
19,8183000.0,23140000.0,0.35363007778738115
20,7537900.0,22052300.0,0.34181922067085974
21,8582800.0,23953300.0,0.35831388576939294
22,8949700.0,23749200.0,0.37684216731510956
23,9991800.0,24800300.0,0.4028902876174885
24,11012300.0,26958500.0,0.4084908284956507
25,6258000.0,15894800.0,0.39371366736291113
26,5222400.0,11477300.0,0.4550199088635829
27,6341000.0,13938900.0,0.45491394586373385
28,6223500.0,14307900.0,0.43496949237833643
29,8007300.0,18745500.0,0.42715851804433064
30,7512000.0,18410500.0,0.408028027484316
31,7126800.0,17208300.0,0.4141489862450097
32,7739200.0,19054700.0,0.406157011131112
33,7308800.0,17932700.0,0.40756829702164205
34,6758300.0,17098900.0,0.39524764750948893
35,6586500.0,16757600.0,0.39304554351458443
36,5782500.0,14440100.0,0.40044736532295483
37,5942800.0,14890700.0,0.39909473698348635
38,5038800.0,13057700.0,0.38588725426376774
39,4745800.0,12228900.0,0.3880806940934998
40,4693300.0,12280900.0,0.38216254509034353
41,4209400.0,10799900.0,0.38976286817470535
42,3984100.0,10352100.0,0.38485911071183626
43,3756200.0,9814900.0,0.3827038482307512
44,3661500.0,9415400.0,0.38888416848992075
45,3842200.0,9783900.0,0.39270638497940497
46,3824500.0,9581900.0,0.39913795802502633
47,3715100.0,9025800.0,0.4116089432515677
48,3741400.0,9235300.0,0.40511948718504
49,3767600.0,9328400.0,0.40388491059560055
50,3797200.0,9540400.0,0.3980126619428955
51,3797100.0,9280400.0,0.4091526227317788
52,3647300.0,9011100.0,0.40475635604976085
53,3676600.0,9154300.0,0.40162546562817475
54,3634500.0,9126000.0,0.3982577251808021
55,3281600.0,8311900.0,0.3948074447478916
56,3214000.0,8134400.0,0.3951121164437451
57,3147200.0,7933700.0,0.3966875480545017
58,2868700.0,7553000.0,0.37980934727922677
59,2862200.0,7574100.0,0.3778930830065618
60,2607400.0,7014200.0,0.37173163012175303
61,2405700.0,6404800.0,0.3756089183112665
62,2432800.0,6655200.0,0.3655487438394038
63,2286300.0,6260000.0,0.36522364217252395
64,2044700.0,5613000.0,0.36427935150543383
65,2042500.0,5538200.0,0.36880213787873317
66,1931800.0,5234400.0,0.36905853583982884
67,1816500.0,5003400.0,0.3630531238757645
68,1559300.0,4359600.0,0.35767042847967706
69,1495500.0,4104900.0,0.3643206899071841
70,1449800.0,4092700.0,0.35424047694675886
71,1281700.0,3621900.0,0.35387503796349984
72,1210700.0,3355300.0,0.3608321163532322
73,1228500.0,3365500.0,0.3650274847719507
74,1016600.0,2790000.0,0.3643727598566308
75,916700.0,2470100.0,0.37111857819521477
76,828700.0,2252300.0,0.3679349997780047
77,737900.0,2020100.0,0.36527894658680266
78,673100.0,1860800.0,0.3617261392949269
79,552900.0,1551500.0,0.35636480825008054
80,492300.0,1366000.0,0.3603953147877013
81,419800.0,1155100.0,0.3634317375119037
82,354700.0,970400.0,0.3655193734542457
83,302300.0,814000.0,0.3713759213759214
84,253900.0,691300.0,0.3672790394908144
85 +,742300.0,1930900.0,0.38443213009477445
Unknown,0.0,0.0,
