Age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
0,2315990.0,1709339.0,1576913.0,1742531.0,1898242.0,1913757.0,1586504.0,1429658.0,1213685.0,1191578.0,1171652.0,1056800.0,1045975.0,957190.0,831824.0
1,2522681.0,1710091.0,1603500.0,1658677.0,1883710.0,,1636235.0,1488363.0,1260478.0,1201008.0,1166160.0,1091316.0,1045417.0,970336.0,866525.0
2,2479988.0,1817775.0,1544800.0,1613816.0,1839328.0,,1706055.0,1504910.0,1301517.0,1185263.0,1192157.0,1115649.0,1074194.0,1006691.0,910005.0
3,2346977.0,1939180.0,1509400.0,1567441.0,1843664.0,,1749163.0,1508715.0,1343438.0,1208065.0,1189303.0,1149450.0,1069540.0,1012766.0,934063.0
4,1539821.0,2071356.0,1596200.0,1551018.0,1442620.0,,1837459.0,1527617.0,1373779.0,1209340.0,1184826.0,1164872.0,1061622.0,1040723.0,973665.0
5,1640470.0,2242566.0,1715800.0,1568062.0,1789278.0,,1927082.0,1596623.0,1438361.0,1231252.0,1204133.0,1182977.0,1058489.0,1043969.0,998664.0
6,1990547.0,2479059.0,1719300.0,1599596.0,1679517.0,,2033501.0,1636472.0,1488041.0,1269637.0,1207742.0,1179736.0,1098856.0,1054736.0,996576.0
7,1933618.0,2463426.0,1826700.0,1560021.0,1637334.0,,2067213.0,1706161.0,1504285.0,1311187.0,1188966.0,1193349.0,1117316.0,1075000.0,1020657.0
8,1987368.0,2335070.0,1900400.0,1514720.0,1587147.0,,2025049.0,1751870.0,1508173.0,1349829.0,1210282.0,1188871.0,1147733.0,1066954.0,1024325.0
9,1970662.0,1522471.0,2057500.0,1606893.0,1574060.0,,1979189.0,1840708.0,1527697.0,1378766.0,1210666.0,1183562.0,1163267.0,1059128.0,1048871.0
10,1797699.0,1632215.0,2238700.0,1695828.0,1595708.0,,1921118.0,1927529.0,1595265.0,1439250.0,1239516.0,1204524.0,1175275.0,1061074.0,1057736.0
11,1581452.0,1981370.0,2439200.0,1693066.0,1623047.0,,1890500.0,2034623.0,1636114.0,1490285.0,1262345.0,1205422.0,1176598.0,1098898.0,1063185.0
12,1711680.0,1931926.0,2438600.0,1813257.0,1586763.0,,1848293.0,2068981.0,1705785.0,1506868.0,1314403.0,1187516.0,1195772.0,1118555.0,1083113.0
13,1792256.0,1996207.0,2331400.0,1927194.0,1543604.0,,1854487.0,2029146.0,1749680.0,1511715.0,1352506.0,1209248.0,1190404.0,1152224.0,1077379.0
14,1816830.0,1966099.0,1513100.0,2054062.0,1628757.0,,1445230.0,1981842.0,1839941.0,1529687.0,1377842.0,1207942.0,1182986.0,1168566.0,1069104.0
15,1751282.0,1794119.0,1583100.0,2223880.0,1711172.0,,1794958.0,1925050.0,1923430.0,1600305.0,1442928.0,1234174.0,1218766.0,1195559.0,1070370.0
16,1705202.0,1578957.0,1922500.0,2452605.0,1711392.0,,1682121.0,1895535.0,2030530.0,1642394.0,1494054.0,1273076.0,1226037.0,1196987.0,1113159.0
17,1724498.0,1696266.0,1907400.0,2423182.0,1814986.0,,1638131.0,1850928.0,2061385.0,1708325.0,1509872.0,1313462.0,1202514.0,1214737.0,1123237.0
18,1709995.0,1767466.0,1941400.0,2295416.0,1910047.0,,1589821.0,1858950.0,2021114.0,1756325.0,1510429.0,1357096.0,1215892.0,1206550.0,1151389.0
19,1676691.0,1788711.0,1903100.0,1456805.0,2019447.0,,1567214.0,1449484.0,1970628.0,1850609.0,1530882.0,1390572.0,1200148.0,1194555.0,1159285.0
20,1602810.0,1728264.0,1751600.0,1553302.0,2186671.0,,1574724.0,1793326.0,1906422.0,1918874.0,1600338.0,1442590.0,1219150.0,1209293.0,1177049.0
21,1573797.0,1669124.0,1520200.0,1889619.0,2401081.0,,1602101.0,1668404.0,1857127.0,2009782.0,1625091.0,1471327.0,1249329.0,1200645.0,1174456.0
22,1538907.0,1691802.0,1641200.0,1840956.0,2403420.0,,1557947.0,1622440.0,1813347.0,2035857.0,1680670.0,1481329.0,1288282.0,1176156.0,1193935.0
23,1518112.0,1671423.0,1685000.0,1903618.0,2285942.0,,1512204.0,1568705.0,1810873.0,1989775.0,1715244.0,1469413.0,1321513.0,1192480.0,1193983.0
24,1491916.0,1642630.0,1688400.0,1881194.0,1450522.0,,1594050.0,1547679.0,1412352.0,1940713.0,1800117.0,1485939.0,1348159.0,1189553.0,1191883.0
25,1402262.0,1572503.0,1654900.0,1730156.0,1554758.0,,1663062.0,1560365.0,1748650.0,1883050.0,1880976.0,1546900.0,1404312.0,1212699.0,1210380.0
26,1296346.0,1551558.0,1627500.0,1522792.0,1903968.0,,1666386.0,1591676.0,1636327.0,1852166.0,1979076.0,1588551.0,1449555.0,1242780.0,1212167.0
27,1216902.0,1520912.0,1649600.0,1650205.0,1862917.0,,1787518.0,1555402.0,1600509.0,1815863.0,2016650.0,1655017.0,1469956.0,1284897.0,1192761.0
28,1158600.0,1488679.0,1651200.0,1716958.0,1926284.0,,1897835.0,1516000.0,1552063.0,1816136.0,1980447.0,1701624.0,1475731.0,1321987.0,1209983.0
29,1111010.0,1470676.0,1637500.0,1743718.0,1900271.0,,2026554.0,1599959.0,1533164.0,1420926.0,1933160.0,1787957.0,1494147.0,1347249.0,1206673.0
30,1171091.0,1391573.0,1544900.0,1684040.0,1755444.0,,2192482.0,1671589.0,1549317.0,1760060.0,1884260.0,1873576.0,1561305.0,1402069.0,1234225.0
31,969980.0,1283070.0,1534500.0,1635168.0,1539410.0,,2415378.0,1671701.0,1584284.0,1647947.0,1849663.0,1972766.0,1600983.0,1448934.0,1258775.0
32,1002823.0,1199721.0,1508900.0,1667245.0,1667353.0,,2411095.0,1789628.0,1548083.0,1612294.0,1813198.0,2009592.0,1669936.0,1471831.0,1299569.0
33,1016665.0,1146791.0,1461400.0,1648657.0,1728640.0,,2304799.0,1895956.0,1510323.0,1563101.0,1811976.0,1971948.0,1712263.0,1475341.0,1335672.0
34,1041678.0,1095777.0,1446000.0,1622220.0,1750486.0,,1447977.0,2025350.0,1595678.0,1543053.0,1417513.0,1926975.0,1797010.0,1492703.0,1356353.0
35,1015397.0,1155060.0,1367400.0,1557504.0,1696910.0,,1569120.0,2187524.0,1661116.0,1560494.0,1757774.0,1872513.0,1880293.0,1557849.0,1407719.0
36,1041645.0,955592.0,1270000.0,1536373.0,1640697.0,,1923586.0,2408332.0,1664582.0,1591400.0,1645492.0,1841095.0,1981982.0,1599318.0,1456774.0
37,1005433.0,985374.0,1187500.0,1502045.0,1671165.0,,1874319.0,2403501.0,1779871.0,1552685.0,1611261.0,1806426.0,2017073.0,1662613.0,1476522.0
38,1012758.0,998658.0,1128000.0,1463730.0,1646599.0,,1935170.0,2296917.0,1887077.0,1516785.0,1559997.0,1802445.0,1978648.0,1707052.0,1478920.0
39,972840.0,1020442.0,1081200.0,1438887.0,1617471.0,,1899386.0,1441770.0,2011134.0,1600857.0,1540341.0,1413302.0,1928353.0,1789325.0,1491632.0
40,950868.0,995917.0,1142300.0,1364081.0,1550343.0,,1740587.0,1563627.0,2171387.0,1662095.0,1556645.0,1753784.0,1874292.0,1868236.0,1558309.0
41,949823.0,1018815.0,921600.0,1254872.0,1505635.0,,1524897.0,1910068.0,2393337.0,1666822.0,1588957.0,1643281.0,1846761.0,1971714.0,1596338.0
42,911402.0,984507.0,968600.0,1171121.0,1468638.0,,1643736.0,1859160.0,2385137.0,1781163.0,1549456.0,1601907.0,1807649.0,2005891.0,1656969.0
43,898516.0,989968.0,1000800.0,1117309.0,1438054.0,,1702410.0,1919433.0,2277715.0,1887063.0,1512465.0,1550197.0,1803149.0,1969474.0,1699648.0
44,772371.0,956123.0,999800.0,1054019.0,1430958.0,,1725870.0,1882666.0,1430714.0,2008929.0,1592696.0,1531427.0,1410014.0,1916903.0,1779813.0
45,812504.0,935286.0,974300.0,1117043.0,1351851.0,,1673819.0,1723292.0,1545924.0,2168695.0,1650773.0,1544533.0,1744172.0,1859279.0,1852394.0
46,779422.0,923603.0,996700.0,921460.0,1244139.0,,1607762.0,1508667.0,1886926.0,2391128.0,1653919.0,1576252.0,1632518.0,1830534.0,1956602.0
47,817611.0,882979.0,942400.0,947729.0,1165384.0,,1631191.0,1623607.0,1835618.0,2371371.0,1764112.0,1534063.0,1594519.0,1790075.0,1991137.0
48,811241.0,873442.0,964300.0,957567.0,1107738.0,,1604343.0,1680565.0,1897736.0,2265024.0,1864899.0,1495792.0,1542921.0,1786807.0,1954205.0
49,783771.0,751863.0,928300.0,978012.0,1050585.0,,1573272.0,1700483.0,1851808.0,1422148.0,1982305.0,1575221.0,1518986.0,1396109.0,1895955.0
50,736722.0,785457.0,899800.0,950789.0,1105502.0,,1508650.0,1649899.0,1693547.0,1529346.0,2138971.0,1631381.0,1532059.0,1723238.0,1837431.0
51,678099.0,754452.0,890500.0,965739.0,912056.0,,1477871.0,1577683.0,1480437.0,1870153.0,2347851.0,1633864.0,1559648.0,1614331.0,1807894.0
52,696576.0,786575.0,846600.0,929731.0,931259.0,,1441194.0,1597514.0,1596550.0,1817414.0,2335576.0,1739785.0,1519884.0,1573531.0,1764215.0
53,648454.0,774582.0,845200.0,925318.0,939321.0,,1407660.0,1570853.0,1650934.0,1874378.0,2223293.0,1838150.0,1478697.0,1521404.0,1758955.0
54,628817.0,748424.0,717600.0,886421.0,953252.0,,1364647.0,1537045.0,1666918.0,1830627.0,1396299.0,1953319.0,1554211.0,1497792.0,1371356.0
