Year,Ratio
1950,0.16768849044191
1955,0.101360313420233
1960,0.0878249963029702
1965,0.0820257227173653
1970,0.0844886414579351
1972,0.0863124972850875
1973,0.0877374337769737
1978,0.0749876330219155
1979,0.07306589573095
1980,0.0699786386242601
1982,0.0659112022803176
1983,0.065441183996574
1984,0.0654601719251324
1985,0.0645056393563179
1986,0.0615328499182018
1987,0.0602291963457565
1988,0.0593035066355733
1989,0.0573698389352728
1990,0.0553634795559371
1991,0.0531867273735491
1992,0.0527620104716015
1993,0.0523530930052482
1994,0.0516606763954445
1995,0.0524669365484997
1996,0.0523178807947019
1997,0.05285167719548
1998,0.0534579940950165
2000,0.0529087494210213
2001,0.0529105322763306
2003,0.0527751261420973
2004,0.0510756356028562
2005,0.050286765835157
2006,0.0486386709736963
2008,0.0506712660824165
2009,0.0512989148306478
2010,0.049445848004497
2011,0.0497050989345509
2012,0.0515384243829396
2013,0.0506070908207867
2014,0.051336423710425
2015,0.0488761521333298
2016,0.0485535100141614
2017,0.0513663447709061
2018,0.050203740465991
2019,0.0500132872707945
2020,0.0479182220745608
2021,0.0458257961958011
2022,0.0461564189754166
2023,0.0450944890800045
2024,0.0433066361556064
