Age,Urban_population,Total_population,live_in_urban_percentage
0 - 4,4585047.0,4987706.0,0.919269700339194
5 - 9,4842315.0,5299787.0,0.9136810592576645
10 - 14,5098044.0,5599317.0,0.9104760455605567
15 - 19,5512237.0,6008388.0,0.9174236084620367
20 - 24,5557062.0,5968127.0,0.9311232820615245
25 - 29,5947621.0,6409612.0,0.9279221581587154
30 - 34,6748938.0,7290878.0,0.9256687603331176
35 - 39,7682014.0,8316157.0,0.9237456676202722
40 - 44,9002172.0,9732218.0,0.9249866782679961
45 - 49,8008263.0,8662804.0,0.9244423630039419
50 - 54,7266826.0,7930296.0,0.9163372968676075
55 - 59,6791248.0,7515246.0,0.9036627676592356
60 - 64,7593671.0,8455010.0,0.8981267910978225
65 - 69,8719913.0,9643867.0,0.9041925816687435
70 - 74,6983090.0,7695811.0,0.9073884480790914
75 - 79,5654811.0,6276856.0,0.9008986346030561
80 - 84,4425840.0,4961420.0,0.8920510660254524
85 - 89,2749324.0,3117257.0,0.8819689874784146
90 - 94,1183214.0,1349120.0,0.877026506166983
95 - 99,314841.0,359347.0,0.8761475676713595
100 +,54031.0,61763.0,0.8748117805158429
