Year,Urban_population,Total_population,live_in_urban_percentage
1948,,80216896.0,
1949,,82605000.0,
1950,,83199637.0,
1951,,84573000.0,
1952,,85852000.0,
1953,,87033000.0,
1954,,88293000.0,
1955,50288026.0,89275529.0,0.5632901486363637
1956,,90259000.0,
1957,,91088000.0,
1958,,92007000.0,
1959,,92970000.0,
1960,59333330.0,93418501.0,0.6351346827969333
1961,,94285000.0,
1962,,95178000.0,
1963,,96156000.0,
1964,,97186000.0,
1965,66918621.0,98274961.0,0.6809325622627314
1966,,99054000.0,
1967,,100243000.0,
1968,,101408000.0,
1969,,102648000.0,
1970,75428660.0,104665171.0,0.7206662854446586
1971,,105006000.0,
1972,,107332000.0,
1973,,108710000.0,
1974,,110049000.0,
1975,84967269.0,111939643.0,0.7590453812685467
1976,,113088560.0,
1977,,114154260.0,
1978,,115174112.0,
1979,,116133112.0,
1980,89187409.0,117060396.0,0.7618922543197274
1981,,117884046.0,
1982,,118693341.0,
1983,,119483489.0,
1984,,120235358.0,
1985,92889236.0,121048923.0,0.767369371803498
1986,,121672326.0,
1987,,122263735.0,
1988,,122782930.0,
1989,,123254671.0,
1990,95643521.0,123611167.0,0.7737449885899063
1991,,124043418.0,
1992,,124451938.0,
1993,,124764000.0,
1994,,125034000.0,
1995,98009107.0,125570246.0,0.7805121843911973
1996,,125864000.0,
1997,,126166000.0,
1998,,126486000.0,
1999,,126686000.0,
2000,99865289.0,126925843.0,0.7868002814840473
2001,,127291000.0,
2002,,127435000.0,
2003,,127619000.0,
2004,,127687000.0,
2005,110264324.0,127767994.0,0.8630042669371486
2006,,127756000.0,
2007,,127772000.0,
2008,,127704000.0,
2009,,127558000.0,
2010,116156631.0,128057352.0,0.907067256864721
2011,,127817000.0,
2012,,127561000.0,
2013,,127339000.0,
2014,,127132000.0,
2015,116137232.0,127094745.0,0.9137846887375242
2016,,126995000.0,
2017,,126786000.0,
2018,,126529000.0,
2019,,126265000.0,
2020,88285927.0,126146099.0,0.6998704494223004
2021,,125682000.0,
2022,,125125000.0,
2023,,124517000.0,
2024,,123975000.0,
