Year,Urban_population,Total_population,live_in_urban_percentage
1948,,40851444.0,
1950,,42387877.0,
1951,,43079000.0,
1952,,43704000.0,
1953,,44284000.0,
1954,,44914000.0,
1955,25515073.0,45414811.0,0.5618227278321163
1956,,45903000.0,
1957,,46317000.0,
1958,,46779000.0,
1959,,47264000.0,
1960,30036276.0,47540899.0,0.631798654038915
1961,,47980000.0,
1962,,48434000.0,
1963,,48925000.0,
1964,,49443000.0,
1965,33862373.0,50030516.0,0.6768343744445889
1966,,50427000.0,
1967,,51024000.0,
1968,,51605000.0,
1969,,52216000.0,
1970,38178262.0,53295994.0,0.7163439338423823
1971,,53435000.0,
1972,,54693000.0,
1973,,55379000.0,
1974,,56039000.0,
1975,42948479.0,56848970.0,0.7554838548526033
1976,,57423304.0,
1977,,57955590.0,
1978,,58469737.0,
1979,,58952756.0,
1980,45160449.0,59466627.0,0.7594250973743643
1981,,59881737.0,
1982,,60291234.0,
1983,,60693925.0,
1984,,61080338.0,
1985,47096191.0,61551607.0,0.7651496572624009
1986,,61867485.0,
1987,,62172601.0,
1988,,62431332.0,
1989,,62673493.0,
1990,48519101.0,62914443.0,0.7711917754719692
1991,,63138853.0,
1992,,63356271.0,
1993,,63536000.0,
1994,,63706000.0,
1995,49798911.0,63995848.0,0.7781584674055729
1996,,64177000.0,
1997,,64361000.0,
1998,,64568000.0,
1999,,64714000.0,
2000,50859598.0,64815079.0,0.7846877421841915
2001,,65047000.0,
2002,,65183000.0,
2003,,65315000.0,
2004,,65392000.0,
2005,56378324.0,65419017.0,0.8618032887898637
2006,,65440000.0,
2007,,65471000.0,
2008,,65441000.0,
2009,,65418000.0,
2010,59587580.0,65729615.0,0.9065560478332332
2011,,65628000.0,
2012,,65520000.0,
2013,,65420000.0,
2014,,65320000.0,
2015,59605083.0,65253007.0,0.9134457665682748
2016,,65213000.0,
2017,,65105000.0,
2018,,64972000.0,
2019,,64823000.0,
2020,45312875.0,64796518.0,0.6993103394846001
2021,,64572000.0,
2022,,64293000.0,
2023,,63964000.0,
2024,,63672000.0,
