Year,Urban_population,Total_population,live_in_urban_percentage
1948,,39365452.0,
1950,,40811760.0,
1951,,41494000.0,
1952,,42148000.0,
1953,,42749000.0,
1954,,43379000.0,
1955,24772953.0,43860718.0,0.5648095637650072
1956,,44355000.0,
1957,,44771000.0,
1958,,45228000.0,
1959,,45706000.0,
1960,29297054.0,45877602.0,0.6385916596076665
1961,,46304000.0,
1962,,46744000.0,
1963,,47230000.0,
1964,,47744000.0,
1965,33056248.0,48244445.0,0.6851824702305105
1966,,48626000.0,
1967,,49219000.0,
1968,,49803000.0,
1969,,50431000.0,
1970,37250398.0,51369177.0,0.725150765020043
1971,,51571000.0,
1972,,52639000.0,
1973,,53331000.0,
1974,,54010000.0,
1975,42018790.0,55090673.0,0.7627205788537018
1976,,55665256.0,
1977,,56198670.0,
1978,,56704375.0,
1979,,57180356.0,
1980,44026960.0,57593769.0,0.7644396392950078
1981,,58002309.0,
1982,,58402107.0,
1983,,58789564.0,
1984,,59155020.0,
1985,45793045.0,59497316.0,0.7696657274422262
1986,,59804841.0,
1987,,60091134.0,
1988,,60351598.0,
1989,,60581178.0,
1990,47124420.0,60696724.0,0.776391490255718
1991,,60904565.0,
1992,,61095667.0,
1993,,61228000.0,
1994,,61328000.0,
1995,48210196.0,61574398.0,0.782958462703931
1996,,61687000.0,
1997,,61805000.0,
1998,,61919000.0,
1999,,61972000.0,
2000,49005691.0,62110764.0,0.7890048011645775
2001,,62244000.0,
2002,,62252000.0,
2003,,62304000.0,
2004,,62295000.0,
2005,53886000.0,62348977.0,0.8642643807932887
2006,,62330000.0,
2007,,62301000.0,
2008,,62251000.0,
2009,,62140000.0,
2010,56569051.0,62327737.0,0.9076063679321456
2011,,62189000.0,
2012,,62041000.0,
2013,,61918000.0,
2014,,61812000.0,
2015,56532149.0,61841738.0,0.9141423062851176
2016,,61781000.0,
2017,,61681000.0,
2018,,61558000.0,
2019,,61441000.0,
2020,42973052.0,61349581.0,0.7004620292353749
2021,,61109000.0,
2022,,60832000.0,
2023,,60553000.0,
2024,,60303000.0,
